,R,AT,KT,KI
0,50,0.7478470273028834,0.719829964272824,0.7182539682539684
1,100,0.7719618681406714,0.7466245233008427,0.7533333333333333
2,150,0.7950674522682636,0.7722971894736528,0.7693650793650794
3,200,0.8034740979152177,0.7816378897521782,0.7746031746031745
4,250,0.80807046625388,0.7867450941052427,0.7871428571428571
5,300,0.8175628235063599,0.7972919148988974,0.8031746031746032
