,R,AT,KT,AI,KI
0,50,0.869545802500638,0.8549007275129679,0.865,0.8498493386220868
1,100,0.8314187294720821,0.8123707656247177,0.8322857142857143,0.8133416306741345
2,150,0.9085611255996652,0.8983432828832746,0.9044285714285715,0.893751552150745
3,200,0.918678937068366,0.9096011556511802,0.9194285714285715,0.9104361548281208
4,250,0.9228056490013489,0.9141897531718259,0.9197142857142857,0.9107549961719247
5,300,0.9211501722645853,0.9123497458896891,0.9191428571428572,0.9101197922592089
