,R,AT,KT,KI
0,50,0.723781576932891,0.6930904521871427,0.7061904761904763
1,100,0.7803733076984699,0.7559702557545975,0.7617460317460316
2,150,0.8028268778775878,0.7809187727789768,0.7741269841269842
3,200,0.8050429410147342,0.7833810062277826,0.7901587301587302
4,250,0.8120520696211789,0.7911690705423593,0.8033333333333333
5,300,0.8198324706497069,0.799813877561391,0.8003174603174603
