,R,AT,KT,AI,KI
0,50,0.8580951773411585,0.842126830301216,0.8548571428571429,0.838517631822017
1,100,0.8650004005447408,0.8498260619088557,0.8618571428571429,0.8463314650956532
2,150,0.9023954409349947,0.8914739622346076,0.9017142857142857,0.8907165799626625
3,200,0.9066942696792767,0.8962604742488377,0.9005714285714286,0.8894541606315907
4,250,0.9151674711130613,0.9056925145037624,0.9114285714285715,0.9015396722409958
5,300,0.9216890093561713,0.9129435862682204,0.9172857142857143,0.9080481487390277
