,R,AT,KT,KI
0,50,0.199961172587847,0.0,0.0
1,100,0.19992198166569145,0.0,0.0
2,150,0.19998040368410738,0.0,0.0
3,200,0.19994093325457768,0.0,0.0
4,250,0.19992086259768524,0.0,0.0
5,300,0.19996024647187438,0.0,0.0
