,R,AT,KT,KI
0,50,0.4986125287063026,0.44290042337643243,0.4476190476190476
1,100,0.46581751181606984,0.4064642682726425,0.4112698412698411
2,150,0.5564087704047136,0.507121292627043,0.5142857142857143
3,200,0.48550033155962413,0.42833441920958937,0.43126984126984114
4,250,0.46093965839468254,0.4010457901847152,0.4031746031746031
5,300,0.4559868066554545,0.3955419156831198,0.40015873015872994
