,R,AT,KT,AI,KI
0,50,0.8453368206175045,0.8278645784206797,0.846,0.8285867740498821
1,100,0.8731234478891292,0.8588587390333106,0.8674285714285714,0.8525140351762653
2,150,0.8918509932708716,0.8797412134813601,0.8931428571428571,0.8811738453648257
3,200,0.8950492487344126,0.8832904692015454,0.891,0.8787791221470453
4,250,0.9210342417889588,0.9122150242701247,0.9154285714285715,0.905981127208692
5,300,0.9297389089365315,0.9218982251778569,0.9291428571428572,0.9212363765530039
