,R,AT,KT,KI
0,50,0.502883276993438,0.30793024008380243,0.301120199146515
1,100,0.5469436675988814,0.36952455281739294,0.3374565512739077
2,150,0.5734644720995584,0.4156450182927106,0.40098386389193386
3,200,0.5946763460375075,0.4499995702944899,0.45652758390026826
4,250,0.6265450861195542,0.5034419853214045,0.491796377566592
5,300,0.6269340390879479,0.5039511871444287,0.5059123102689705
