,R,AT,KT,AI,KI
0,50,0.8099642766011738,0.7885501649024659,0.8031428571428572,0.7809568032101024
1,100,0.8848674196907794,0.8719651700055361,0.885,0.8721077049672051
2,150,0.8986123184906146,0.8872650176234328,0.8911428571428571,0.878956880623958
3,200,0.9101230814019311,0.9000756093180234,0.9117142857142857,0.9018456110875342
4,250,0.9214405278468464,0.9126741869698797,0.9214285714285714,0.9126652769935296
5,300,0.9176232385742044,0.9084261250030192,0.9177142857142857,0.9085293873503901
